index,file_path,true_class,predicted_class,predicted_confidence,secondary_class,secondary_confidence,confidence_band,rules_fired,if_then_reasoning,recommendation
343,data/raw/test\Bacterial Pneumonia\person85_bacteria_423.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6503,Viral Pneumonia,0.3259,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
344,data/raw/test\Bacterial Pneumonia\person86_bacteria_429.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.9205,Viral Pneumonia,0.0793,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
345,data/raw/test\Bacterial Pneumonia\person87_bacteria_433.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8074,Viral Pneumonia,0.1924,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
346,data/raw/test\Bacterial Pneumonia\person87_bacteria_434.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5966,Viral Pneumonia,0.3863,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
347,data/raw/test\Bacterial Pneumonia\person91_bacteria_447.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8829,Viral Pneumonia,0.1152,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
348,data/raw/test\Bacterial Pneumonia\person99_bacteria_474.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.4512,Viral Pneumonia,0.3001,low,low_confidence_needs_manual_review | safety_alert_low_max_probability,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF max probability < low_confidence_alert THEN trigger safety alert and require manual confirmation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
349,data/raw/test\Bacterial Pneumonia\person9_bacteria_40.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7743,Viral Pneumonia,0.2252,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
350,data/raw/test\Bacterial Pneumonia\test_0_116.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6452,Viral Pneumonia,0.3251,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
351,data/raw/test\Bacterial Pneumonia\test_0_122.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6839,Viral Pneumonia,0.3159,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
352,data/raw/test\Bacterial Pneumonia\test_0_126.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8179,Viral Pneumonia,0.182,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
353,data/raw/test\Bacterial Pneumonia\test_0_139.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.6932,Bacterial Pneumonia,0.3065,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
354,data/raw/test\Bacterial Pneumonia\test_0_16.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5043,Viral Pneumonia,0.4921,low,low_confidence_needs_manual_review | ambiguous_top2_overlap,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Bacterial Pneumonia vs Viral Pneumonia); treat as uncertain differential.
355,data/raw/test\Bacterial Pneumonia\test_0_164.jpeg,Bacterial Pneumonia,Normal,0.8868,Viral Pneumonia,0.0752,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Normal as primary diagnosis. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Prediction strongly supports Normal. Continue with disease-specific confirmatory protocol.
356,data/raw/test\Bacterial Pneumonia\test_0_188.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.5227,Bacterial Pneumonia,0.3551,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
357,data/raw/test\Bacterial Pneumonia\test_0_20.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5026,Viral Pneumonia,0.4876,low,low_confidence_needs_manual_review | ambiguous_top2_overlap,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Bacterial Pneumonia vs Viral Pneumonia); treat as uncertain differential.
358,data/raw/test\Bacterial Pneumonia\test_0_250.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.8508,Bacterial Pneumonia,0.1455,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Viral Pneumonia as primary diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Prediction strongly supports Viral Pneumonia. Continue with disease-specific confirmatory protocol.
359,data/raw/test\Bacterial Pneumonia\test_0_262.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.545,Bacterial Pneumonia,0.4547,low,low_confidence_needs_manual_review | ambiguous_top2_overlap,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Viral Pneumonia vs Bacterial Pneumonia); treat as uncertain differential.
360,data/raw/test\Bacterial Pneumonia\test_0_284.jpeg,Bacterial Pneumonia,Normal,0.4127,Viral Pneumonia,0.3226,low,low_confidence_needs_manual_review | ambiguous_top2_overlap | safety_alert_low_max_probability,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF max probability < low_confidence_alert THEN trigger safety alert and require manual confirmation. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Normal vs Viral Pneumonia); treat as uncertain differential.
361,data/raw/test\Bacterial Pneumonia\test_0_310.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.546,Bacterial Pneumonia,0.4532,low,low_confidence_needs_manual_review | ambiguous_top2_overlap,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Viral Pneumonia vs Bacterial Pneumonia); treat as uncertain differential.
362,data/raw/test\Bacterial Pneumonia\test_0_324.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8124,Viral Pneumonia,0.1876,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
363,data/raw/test\Bacterial Pneumonia\test_0_330.jpeg,Bacterial Pneumonia,Normal,0.7155,Viral Pneumonia,0.2469,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Normal as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Primary diagnosis is Normal with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
364,data/raw/test\Bacterial Pneumonia\test_0_355.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.6662,Bacterial Pneumonia,0.3295,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
365,data/raw/test\Bacterial Pneumonia\test_0_388.jpeg,Bacterial Pneumonia,Normal,0.9393,Viral Pneumonia,0.054,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Normal as primary diagnosis. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Prediction strongly supports Normal. Continue with disease-specific confirmatory protocol.
366,data/raw/test\Bacterial Pneumonia\test_0_393.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6619,Viral Pneumonia,0.3378,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
367,data/raw/test\Bacterial Pneumonia\test_0_4.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7458,Bacterial Pneumonia,0.1795,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
368,data/raw/test\Bacterial Pneumonia\test_0_405.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7384,Bacterial Pneumonia,0.2613,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
369,data/raw/test\Bacterial Pneumonia\test_0_430.jpeg,Bacterial Pneumonia,Normal,0.6579,Viral Pneumonia,0.2897,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Normal as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Primary diagnosis is Normal with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
370,data/raw/test\Bacterial Pneumonia\test_0_447.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.8031,Bacterial Pneumonia,0.1057,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Viral Pneumonia as primary diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Prediction strongly supports Viral Pneumonia. Continue with disease-specific confirmatory protocol.
371,data/raw/test\Bacterial Pneumonia\test_0_453.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6525,Viral Pneumonia,0.3472,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
372,data/raw/test\Bacterial Pneumonia\test_0_465.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7643,Viral Pneumonia,0.1985,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
373,data/raw/test\Bacterial Pneumonia\test_0_483.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7827,Viral Pneumonia,0.217,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
374,data/raw/test\Bacterial Pneumonia\test_0_496.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8571,Viral Pneumonia,0.1429,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
375,data/raw/test\Bacterial Pneumonia\test_0_499.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8635,Viral Pneumonia,0.1365,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
376,data/raw/test\Bacterial Pneumonia\test_0_508.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.6596,Bacterial Pneumonia,0.3076,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
377,data/raw/test\Bacterial Pneumonia\test_0_522.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6171,Viral Pneumonia,0.3808,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
378,data/raw/test\Bacterial Pneumonia\test_0_533.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7533,Bacterial Pneumonia,0.2447,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
379,data/raw/test\Bacterial Pneumonia\test_0_534.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.6536,Bacterial Pneumonia,0.3423,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
380,data/raw/test\Bacterial Pneumonia\test_0_543.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8335,Viral Pneumonia,0.1664,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
381,data/raw/test\Bacterial Pneumonia\test_0_547.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.9203,Bacterial Pneumonia,0.0554,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Viral Pneumonia as primary diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Prediction strongly supports Viral Pneumonia. Continue with disease-specific confirmatory protocol.
382,data/raw/test\Bacterial Pneumonia\test_0_573.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5336,Viral Pneumonia,0.4473,low,low_confidence_needs_manual_review | ambiguous_top2_overlap,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Bacterial Pneumonia vs Viral Pneumonia); treat as uncertain differential.
383,data/raw/test\Bacterial Pneumonia\test_0_611.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5736,Viral Pneumonia,0.4261,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
384,data/raw/test\Bacterial Pneumonia\test_0_621.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.4682,Normal,0.3091,low,low_confidence_needs_manual_review | safety_alert_low_max_probability,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF max probability < low_confidence_alert THEN trigger safety alert and require manual confirmation. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
385,data/raw/test\Bacterial Pneumonia\test_0_680.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.8608,Normal,0.0693,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Viral Pneumonia as primary diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Prediction strongly supports Viral Pneumonia. Continue with disease-specific confirmatory protocol.
386,data/raw/test\Bacterial Pneumonia\test_0_73.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.5111,Bacterial Pneumonia,0.4716,low,low_confidence_needs_manual_review | ambiguous_top2_overlap,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Viral Pneumonia vs Bacterial Pneumonia); treat as uncertain differential.
387,data/raw/test\Bacterial Pneumonia\test_0_738.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.644,Viral Pneumonia,0.3532,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
388,data/raw/test\Bacterial Pneumonia\test_0_780.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.5313,Bacterial Pneumonia,0.3123,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
